Item Name,Market Price,Hand Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Acacia Plank,4880,2180.0,1943.5999999999995,0.8915596330275227,2.4,2915399.9999999995
Acacia Plywood,18300,8720.0,6743.5,0.7733371559633028,12.0,2023050.0000000002
Acacia Timber,1090,1090.0,-168.95000000000005,-0.15500000000000005,0.0,0.0
Advanced Cooking Utensil,1020000,529240.0,332660.0,0.6285617111329453,3672.0,326137.2549019608
Apprentice's Alchemy Box,180000,89796.36363636363,62303.63636363637,0.6938325099214385,127.63636363636363,1757282.0512820517
Ash Plank,1150,640.0,331.75,0.518359375,2.4,497625.00000000006
Ash Plywood,9250,2560.0,5256.25,2.05322265625,12.0,1576875.0
Ash Sap,2740,2740.0,-424.7000000000003,-0.1550000000000001,0.0,0.0
Ash Timber,320,320.0,-49.60000000000002,-0.15500000000000008,0.0,0.0
Beer,1350,1819.548872180451,-678.7988721804511,-0.37305888429752065,0.9022556390977444,-2708407.4999999995
Birch Plank,2980,1220.0,1298.1,1.0640163934426228,2.4,1947150.0
Birch Plywood,12200,4880.0,5429.0,1.1125,12.0,1628700.0
Birch Timber,610,610.0,-94.55000000000007,-0.1550000000000001,0.0,0.0
Bloody Tree Knot,5800,5800.0,-899.0,-0.155,0.0,0.0
Blue Whale Tendon,4940000,4940000.0,-765700.0,-0.155,0.0,0.0
Bottle of River Water,6000,6000.0,-930.0,-0.155,0.0,0.0
Bottle of Sea Water,3270,3270.0,-506.8499999999999,-0.15499999999999997,0.0,0.0
Bronze Ingot,12100,5476.0,4748.5,0.8671475529583638,16.8,1017535.7142857143
Cedar Plank,2730,1450.0,856.8499999999999,0.5909310344827585,2.4,1285275.0
Cedar Plywood,12700,5800.0,4931.5,0.8502586206896552,12.0,1479450.0
Cedar Timber,725,725.0,-112.375,-0.155,0.0,0.0
Clear Liquid Reagent,4480,2469.2,1316.4,0.5331281386683947,3.3600000000000003,1410428.5714285714
Clown's Blood,14300,9435.68,2647.8199999999997,0.2806178251064046,3.7439999999999998,2545980.769230769
Coal,790,790.0,-122.45000000000005,-0.15500000000000005,0.0,0.0
Cooking Wine,40,40.0,-6.200000000000003,-0.15500000000000008,0.0,0.0
Copper Ingot,8400,2712.0,4386.0,1.6172566371681416,16.8,939857.1428571428
Copper Ore,339,339.0,-52.545000000000016,-0.15500000000000005,0.0,0.0
Elder Tree Plank,1730,970.0,491.8499999999999,0.507061855670103,2.4,737774.9999999999
Elder Tree Plywood,13800,3880.0,7781.0,2.0054123711340206,12.0,2334300.0
Elder Tree Timber,485,485.0,-75.17500000000001,-0.15500000000000003,0.0,0.0
Emerald,102000,63660.477453580905,22529.522546419095,0.35390124999999995,2.387267904509284,33974519.99999999
Fine Hard Hide,103000,65200.0,21835.0,0.3348926380368098,12.0,6550500.0
Fir Plank,3110,2460.0,167.94999999999982,0.06827235772357716,2.4,251924.99999999977
Fir Plywood,15900,9840.0,3595.5,0.36539634146341465,12.0,1078650.0
Fir Sap,3460,3460.0,-536.3000000000002,-0.15500000000000005,0.0,0.0
Fir Timber,1230,1230.0,-190.6500000000001,-0.15500000000000008,0.0,0.0
Flax,1300,1300.0,-201.5,-0.155,0.0,0.0
Flax Fabric,10200,10400.0,-1781.0,-0.17125,12.0,-534300.0
Flax Thread,2320,2600.0,-639.6000000000001,-0.24600000000000005,2.4,-959400.0000000002
Forest Emerald,313000,427149.6817400531,-162664.6817400531,-0.3808142407537707,38.50150026525199,-15209611.319813814
Gem Polisher,87500,58875.840000000004,15061.659999999996,0.2558207237467864,13.344,4063397.482014388
Hard Hide,22000,16300.0,2290.0,0.14049079754601226,2.4,3435000.0000000005
HP Potion (Medium),120,96.0,5.3999999999999915,0.05624999999999991,2.4,8099.999999999987
HP Potion (Small),80,80.0,-12.400000000000006,-0.15500000000000008,0.0,0.0
Iron Ingot,8500,4240.0,2942.5,0.6939858490566038,16.8,630535.7142857143
Iron Ore,530,530.0,-82.15000000000003,-0.15500000000000005,0.0,0.0
Item 1,666,666.0,-103.23000000000002,-0.15500000000000003,0.0,0.0
Item 2,2,2.0,-0.31000000000000005,-0.15500000000000003,0.0,0.0
Item 3,11,11.0,-1.705,-0.155,0.0,0.0
Item 4,45,703.0,-664.975,-0.9459103840682789,6.0,-398985.0
Item 5,77777777,1.406e-07,65722221.564999856,467441120661449.9,6e-10,3.9433332938999916e+20
