Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Acacia Plank,Craft,3860,3120.0,141.69999999999982,0.045416666666666605,2.4,212549.99999999974
Acacia Plywood,Craft,17000,12480.0,1885.0,0.15104166666666666,12.0,565500.0
Acacia Timber,Market Buy,1560,1560.0,-241.79999999999995,-0.15499999999999997,0.0,0.0
Advanced Cooking Utensil,Craft,1020000,587160.0,274740.0,0.46791334559574904,3672.0,269352.9411764706
Aloe,Market Buy,3280,3280.0,-508.4000000000001,-0.15500000000000003,0.0,0.0
Aloe Cookie,Market Buy,1830,1830.0,-283.6500000000001,-0.15500000000000005,0.0,0.0
Apprentice's Alchemy Box,Craft,180000,50370.90909090909,101729.09090909091,2.0196000577533932,127.63636363636363,2869282.051282052
Ash Plank,Craft,1280,730.0,351.5999999999999,0.48164383561643825,2.4,527399.9999999999
Ash Plywood,Craft,8800,2920.0,4516.0,1.5465753424657533,12.0,1354800.0
Ash Sap,Market Buy,4160,4160.0,-644.8000000000002,-0.15500000000000005,0.0,0.0
Ash Timber,Market Buy,365,365.0,-56.57499999999999,-0.15499999999999997,0.0,0.0
Barley,Market Buy,450,450.0,-69.75,-0.155,0.0,0.0
Barley Dough,Craft,1560,84.0,1234.2,14.692857142857143,3.3600000000000003,1322357.1428571427
Barley Flour,Craft,1350,180.0,960.75,5.3375,2.4,1441125.0
Beer,Market Buy,1760,1760.0,-272.79999999999995,-0.15499999999999997,0.0,0.0
Birch Plank,Market Buy,1770,1770.0,-274.35000000000014,-0.15500000000000008,0.0,0.0
Birch Plywood,Craft,10500,7080.0,1792.5,0.2531779661016949,2.4,2688750.0
Birch Timber,Market Buy,950,950.0,-147.25,-0.155,0.0,0.0
Bloody Tree Knot,Market Buy,3850,3850.0,-596.75,-0.155,0.0,0.0
Blue Whale Tendon,Market Buy,5050000,5050000.0,-782750.0,-0.155,0.0,0.0
Bottle of River Water,Market Buy,6000,6000.0,-930.0,-0.155,0.0,0.0
Bottle of Sea Water,Market Buy,3650,3650.0,-565.75,-0.155,0.0,0.0
Bronze Ingot,Craft,10500,7732.0,1140.5,0.14750387997930678,16.8,244392.85714285713
Cedar Plank,Craft,3920,2880.0,432.4000000000001,0.15013888888888893,2.4,648600.0000000001
Cedar Plywood,Craft,13600,11520.0,-28.0,-0.0024305555555555556,12.0,-8400.0
Cedar Timber,Market Buy,1440,1440.0,-223.20000000000005,-0.15500000000000003,0.0,0.0
Clear Liquid Reagent,Craft,2530,1379.6,758.25,0.5496158306755582,3.3600000000000003,812410.7142857142
Clown's Blood,Craft,13100,4311.84,6757.66,1.5672334780511334,3.7439999999999998,6497750.0
Coal,Market Buy,1080,1080.0,-167.39999999999998,-0.15499999999999997,0.0,0.0
Cooking Honey,Market Buy,2830,2830.0,-438.6500000000001,-0.15500000000000003,0.0,0.0
Cooking Wine,Market Buy,40,40.0,-6.200000000000003,-0.15500000000000008,0.0,0.0
Copper Ingot,Craft,8400,2104.0,4994.0,2.373574144486692,16.8,1070142.857142857
Copper Ore,Market Buy,263,263.0,-40.765000000000015,-0.15500000000000005,0.0,0.0
Corn,Market Buy,475,475.0,-73.625,-0.155,0.0,0.0
Corn Dough,Craft,1600,88.0,1264.0,14.363636363636363,3.3600000000000003,1354285.714285714
Corn Flour,Craft,1360,190.0,959.2,5.048421052631579,2.4,1438800.0
Dough,Craft,1600,76.0,1276.0,16.789473684210527,3.3600000000000003,1367142.857142857
Elder Tree Plank,Craft,1730,866.0,595.8499999999999,0.6880484988452655,2.4,893774.9999999999
Elder Tree Plywood,Craft,13800,3464.0,8197.0,2.366339491916859,12.0,2459100.0
Elder Tree Timber,Market Buy,433,433.0,-67.11500000000001,-0.15500000000000003,0.0,0.0
Emerald,Craft,102000,12433.687002652521,73756.31299734747,5.931974399999999,2.387267904509284,111224519.99999997
Fine Hard Hide,Craft,95000,58000.0,22275.0,0.38405172413793104,12.0,6682500.0
Fir Plank,Craft,3140,2860.0,-206.70000000000027,-0.07227272727272736,2.4,-310050.0000000004
Fir Plywood,Craft,13500,11440.0,-32.5,-0.002840909090909091,12.0,-9750.0
Fir Sap,Market Buy,1460,1460.0,-226.29999999999995,-0.15499999999999997,0.0,0.0
Fir Timber,Market Buy,1430,1430.0,-221.6500000000001,-0.15500000000000005,0.0,0.0
Flax,Market Buy,970,970.0,-150.35000000000002,-0.15500000000000003,0.0,0.0
Flax Fabric,Craft,10200,7760.0,859.0,0.11069587628865979,12.0,257699.99999999997
Flax Thread,Craft,2250,1940.0,-38.75,-0.01997422680412371,2.4,-58125.00000000001
Forest Emerald,Craft,480000,140875.4312148541,264724.5687851459,1.879139368037888,38.50150026525199,24752501.618401226
Freekeh,Market Buy,1820,1820.0,-282.10000000000014,-0.15500000000000008,0.0,0.0
Freekeh Flour,Market Buy,705,705.0,-109.27499999999998,-0.15499999999999997,0.0,0.0
Freekeh Flour Dough,Craft,1390,294.0,880.55,2.995068027210884,2.4,1320825.0
Gem Polisher,Craft,90000,59372.31999999999,16677.680000000008,0.2808999210406467,13.344,4499374.100719427
Hard Hide,Craft,20200,14500.0,2569.0,0.17717241379310344,2.4,3853500.0000000005
High-Quality Potato,Market Buy,3360,3360.0,-520.8000000000002,-0.15500000000000005,0.0,0.0
HP Potion (Medium),Craft,120,96.0,5.3999999999999915,0.05624999999999991,2.4,8099.999999999987
HP Potion (Small),Market Buy,80,80.0,-12.400000000000006,-0.15500000000000008,0.0,0.0
Iron Ingot,Craft,8500,4080.0,3102.5,0.7604166666666666,16.8,664821.4285714285
Iron Ore,Market Buy,510,510.0,-79.05000000000001,-0.15500000000000003,0.0,0.0
